시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원),주택유형,메가서울,건물명
경기도 김포시 걸포동,1555,1555,0,오스타파라곤3단지,전세,119.72,202306,3,"32,000",0,3,2010.0,걸포1로 39,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1595,1595,0,한강메트로자이1단지,월세,74.4083,202306,2,"5,000",125,9,2020.0,걸포2로 83,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1595,1595,0,한강메트로자이1단지,전세,74.4083,202306,6,"32,000",0,13,2020.0,걸포2로 83,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1595,1595,0,한강메트로자이1단지,전세,59.9538,202306,9,"30,000",0,31,2020.0,걸포2로 83,202307~202507,갱신,-,"37,000",0.0,아파트,발표전,
경기도 김포시 걸포동,1595,1595,0,한강메트로자이1단지,전세,74.4083,202306,9,"33,500",0,33,2020.0,걸포2로 83,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1595,1595,0,한강메트로자이1단지,월세,84.969,202306,21,"5,000",135,30,2020.0,걸포2로 83,202309~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1591,1591,0,한강메트로자이2단지,월세,59.9496,202306,5,"3,000",130,24,2020.0,걸포2로 74,202306~202506,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1591,1591,0,한강메트로자이2단지,전세,59.9496,202306,6,"33,000",0,29,2020.0,걸포2로 74,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1591,1591,0,한강메트로자이2단지,전세,59.9496,202306,6,"33,000",0,29,2020.0,걸포2로 74,-,-,-,,,아파트,발표전,
경기도 김포시 걸포동,1591,1591,0,한강메트로자이2단지,전세,84.9402,202306,7,"35,000",0,21,2020.0,걸포2로 74,202306~202506,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1591,1591,0,한강메트로자이2단지,전세,74.9078,202306,9,"35,000",0,11,2020.0,걸포2로 74,-,-,-,,,아파트,발표전,
경기도 김포시 걸포동,1591,1591,0,한강메트로자이2단지,월세,74.9078,202306,10,"5,000",135,14,2020.0,걸포2로 74,-,-,-,,,아파트,발표전,
경기도 김포시 걸포동,1591,1591,0,한강메트로자이2단지,월세,84.9402,202306,12,"13,000",100,13,2020.0,걸포2로 74,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1591,1591,0,한강메트로자이2단지,전세,84.9402,202306,12,"38,000",0,4,2020.0,걸포2로 74,-,-,-,,,아파트,발표전,
경기도 김포시 걸포동,1591,1591,0,한강메트로자이2단지,전세,84.9692,202306,13,"40,000",0,34,2020.0,걸포2로 74,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1591,1591,0,한강메트로자이2단지,월세,74.9078,202306,14,"2,000",160,19,2020.0,걸포2로 74,-,갱신,-,"3,000",160.0,아파트,발표전,
경기도 김포시 걸포동,1591,1591,0,한강메트로자이2단지,전세,99.8067,202306,16,"45,000",0,25,2020.0,걸포2로 74,202306~202506,갱신,-,"40,000",0.0,아파트,발표전,
경기도 김포시 걸포동,1591,1591,0,한강메트로자이2단지,월세,84.4593,202306,17,"10,000",90,14,2020.0,걸포2로 74,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1591,1591,0,한강메트로자이2단지,월세,84.9402,202306,19,"5,000",140,8,2020.0,걸포2로 74,202309~202509,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1591,1591,0,한강메트로자이2단지,전세,59.9496,202306,23,"30,000",0,17,2020.0,걸포2로 74,202309~202509,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1591,1591,0,한강메트로자이2단지,월세,84.4593,202306,26,"5,000",150,12,2020.0,걸포2로 74,202309~202509,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1591,1591,0,한강메트로자이2단지,월세,84.4593,202306,26,"5,000",150,12,2020.0,걸포2로 74,202309~202509,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1591,1591,0,한강메트로자이2단지,월세,84.9199,202306,27,"3,000",150,17,2020.0,걸포2로 74,202307~202507,갱신,사용,"8,000",150.0,아파트,발표전,
경기도 김포시 걸포동,1591,1591,0,한강메트로자이2단지,전세,74.9078,202306,29,"34,000",0,20,2020.0,걸포2로 74,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1593,1593,0,한강메트로자이3단지,월세,84.935,202306,10,"5,000",145,24,2020.0,걸포2로 60,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,1593,1593,0,한강메트로자이3단지,월세,84.935,202306,10,"5,000",145,24,2020.0,걸포2로 60,-,-,-,,,아파트,발표전,
경기도 김포시 걸포동,1593,1593,0,한강메트로자이3단지,전세,84.935,202306,26,"38,000",0,14,2020.0,걸포2로 60,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,BL-2-1,2,1,한강파크뷰우방아이유쉘,전세,84.8318,202306,7,"30,000",0,17,2019.0,걸포1로 40,202308~202412,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,BL-2-1,2,1,한강파크뷰우방아이유쉘,월세,75.8482,202306,13,"4,000",100,4,2019.0,걸포1로 40,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 걸포동,BL-2-1,2,1,한강파크뷰우방아이유쉘,전세,75.8424,202306,17,"27,775",0,11,2019.0,걸포1로 40,202309~202509,-,-,,,아파트,발표전,
경기도 김포시 걸포동,BL-2-1,2,1,한강파크뷰우방아이유쉘,전세,84.8318,202306,23,"29,000",0,15,2019.0,걸포1로 40,202307~202408,-,-,,,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1110,1110,0,강변마을 동부센트레빌,월세,84.9904,202306,12,"15,000",85,9,2006.0,신곡로3번길 34-38,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1280,1280,0,강변마을 월드메르디앙아파트,전세,116.092,202306,13,"35,000",0,3,2010.0,신곡로 48,-,-,-,,,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1280,1280,0,강변마을 월드메르디앙아파트,전세,116.092,202306,13,"35,000",0,3,2010.0,신곡로 48,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1280,1280,0,강변마을 월드메르디앙아파트,전세,152.649,202306,23,"45,000",0,2,2010.0,신곡로 48,202310~202510,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1102,1102,0,강변마을 청도솔리움,전세,59.97,202306,25,"29,000",0,8,2006.0,신곡로 33,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1102,1102,0,강변마을 청도솔리움,전세,59.97,202306,25,"29,000",0,8,2006.0,신곡로 33,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1102,1102,0,강변마을 청도솔리움,전세,59.97,202306,26,"25,000",0,1,2006.0,신곡로 33,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1102,1102,0,강변마을 청도솔리움,전세,59.97,202306,28,"27,000",0,14,2006.0,신곡로 33,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1111,1111,0,강변마을동일하이빌,전세,122.9674,202306,24,"35,000",0,7,2006.0,신곡로3번길 34-16,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1111,1111,0,강변마을동일하이빌,전세,122.9674,202306,27,"33,000",0,6,2006.0,신곡로3번길 34-16,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,576-2,576,2,고촌알베로하우스,전세,54.1,202306,12,"18,000",0,5,2020.0,인향로 6,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,576-2,576,2,고촌알베로하우스,전세,54.1,202306,26,"18,000",0,4,2020.0,인향로 6,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1291,1291,0,고촌행정타운 한양수자인,전세,84.9949,202306,1,"38,000",0,3,2017.0,은행영사정로23번길 23,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1291,1291,0,고촌행정타운 한양수자인,전세,84.9949,202306,8,"36,000",0,13,2017.0,은행영사정로23번길 23,202307~202507,-,-,,,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1291,1291,0,고촌행정타운 한양수자인,전세,76.9623,202306,16,"33,000",0,15,2017.0,은행영사정로23번길 23,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1291,1291,0,고촌행정타운 한양수자인,월세,76.946,202306,20,"6,000",110,5,2017.0,은행영사정로23번길 23,202306~202506,갱신,-,"6,000",80.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1291,1291,0,고촌행정타운 한양수자인,전세,76.9588,202306,29,"35,000",0,11,2017.0,은행영사정로23번길 23,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,539-1,539,1,길훈1차,전세,80.65,202306,20,"21,500",0,5,1991.0,장차로 25,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1284,1284,0,김포고촌우방아이유쉘,전세,128.933,202306,9,"37,000",0,2,2014.0,고송로 7,202307~202507,갱신,-,"33,600",0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,532-78,532,78,김포뉴시티,월세,17.82,202306,26,500,45,10,2016.0,김포대로 340,202306~202406,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1055,1055,0,등촌마을청구,전세,84.925,202306,26,"37,000",0,6,2000.0,인향로 16,202307~202507,갱신,사용,"38,000",0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1269,1269,0,수기마을힐스테이트1단지,월세,101.52,202306,1,"24,000",40,3,2008.0,수기로 67-54,202306~202506,갱신,-,"24,000",20.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1269,1269,0,수기마을힐스테이트1단지,전세,84.85,202306,2,"32,000",0,1,2008.0,수기로 67-54,202308~202508,갱신,사용,"42,000",0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1269,1269,0,수기마을힐스테이트1단지,전세,101.52,202306,7,"37,000",0,11,2008.0,수기로 67-54,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1269,1269,0,수기마을힐스테이트1단지,전세,133.35,202306,9,"57,000",0,2,2008.0,수기로 67-54,-,-,-,,,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1269,1269,0,수기마을힐스테이트1단지,전세,101.52,202306,14,"38,000",0,13,2008.0,수기로 67-54,202307~202507,갱신,사용,"49,000",0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1269,1269,0,수기마을힐스테이트1단지,전세,84.92,202306,16,"35,000",0,11,2008.0,수기로 67-54,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1269,1269,0,수기마을힐스테이트1단지,전세,84.85,202306,20,"35,000",0,3,2008.0,수기로 67-54,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1269,1269,0,수기마을힐스테이트1단지,전세,84.92,202306,21,"35,000",0,6,2008.0,수기로 67-54,202307~202507,-,-,,,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1269,1269,0,수기마을힐스테이트1단지,전세,101.97,202306,24,"48,000",0,13,2008.0,수기로 67-54,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1269,1269,0,수기마을힐스테이트1단지,월세,84.92,202306,30,"7,000",90,8,2008.0,수기로 67-54,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1256,1256,0,수기마을힐스테이트2단지,전세,152.07,202306,5,"50,000",0,3,2008.0,수기로 67-53,-,-,-,,,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1256,1256,0,수기마을힐스테이트2단지,전세,101.97,202306,6,"40,000",0,14,2008.0,수기로 67-53,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1256,1256,0,수기마을힐스테이트2단지,전세,152.07,202306,16,"54,500",0,13,2008.0,수기로 67-53,202307~202507,갱신,-,"52,000",0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1256,1256,0,수기마을힐스테이트2단지,전세,84.85,202306,23,"45,000",0,11,2008.0,수기로 67-53,-,-,-,,,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1256,1256,0,수기마을힐스테이트2단지,전세,84.85,202306,23,"45,000",0,11,2008.0,수기로 67-53,202309~202509,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1052,1052,0,숲속마을대우,월세,134.83,202306,1,"3,000",120,8,2000.0,고송로 17,202306~202506,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1052,1052,0,숲속마을대우,전세,134.83,202306,6,"37,000",0,3,2000.0,고송로 17,-,-,-,,,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1052,1052,0,숲속마을대우,전세,84.936,202306,13,"24,000",0,6,2000.0,고송로 17,202306~202506,갱신,사용,"23,000",0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1052,1052,0,숲속마을대우,전세,134.83,202306,20,"30,000",0,2,2000.0,고송로 17,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1052,1052,0,숲속마을대우,전세,84.936,202306,24,"21,500",0,1,2000.0,고송로 17,202307~202507,갱신,사용,"21,500",0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1058,1058,0,오룡마을한화,전세,84.993,202306,21,"27,300",0,7,2002.0,수기로 8,202308~202508,-,-,,,아파트,발표전,
경기도 김포시 고촌읍 신곡리,1058,1058,0,오룡마을한화,전세,84.993,202306,24,"28,000",0,8,2002.0,수기로 8,202306~202406,갱신,사용,"32,000",0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,532-70,532,70,정다운가,월세,84.927,202306,10,"6,000",80,10,2008.0,김포대로 344,202306~202506,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,BL-A2,00A2,0,캐슬앤파밀리에시티 2단지,전세,59.8547,202306,3,"26,000",0,6,2020.0,수기로 136,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,BL-A2,00A2,0,캐슬앤파밀리에시티 2단지,전세,59.8547,202306,9,"29,000",0,7,2020.0,수기로 136,202306~202506,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,BL-A2,00A2,0,캐슬앤파밀리에시티 2단지,전세,59.9362,202306,9,"30,000",0,14,2020.0,수기로 136,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,BL-A2,00A2,0,캐슬앤파밀리에시티 2단지,전세,99.9853,202306,9,"43,000",0,3,2020.0,수기로 136,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,BL-A2,00A2,0,캐슬앤파밀리에시티 2단지,전세,84.9034,202306,15,"24,000",0,8,2020.0,수기로 136,202306~202506,갱신,사용,"35,000",0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,BL-A2,00A2,0,캐슬앤파밀리에시티 2단지,월세,59.9362,202306,15,"5,000",115,10,2020.0,수기로 136,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,BL-A2,00A2,0,캐슬앤파밀리에시티 2단지,전세,99.9853,202306,16,"34,000",0,7,2020.0,수기로 136,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,BL-A2,00A2,0,캐슬앤파밀리에시티 2단지,전세,99.9853,202306,17,"45,000",0,16,2020.0,수기로 136,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,BL-A2,00A2,0,캐슬앤파밀리에시티 2단지,월세,59.9362,202306,19,"3,000",140,11,2020.0,수기로 136,202306~202406,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 신곡리,BL-A2,00A2,0,캐슬앤파밀리에시티 2단지,전세,74.9549,202306,24,"32,500",0,3,2020.0,수기로 136,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,전세,99.7494,202306,1,"43,000",0,3,2020.0,태리로 236,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,전세,84.9582,202306,5,"40,000",0,8,2020.0,태리로 236,202307~202507,갱신,사용,"45,000",0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,전세,84.9582,202306,5,"40,000",0,8,2020.0,태리로 236,202307~202507,갱신,-,"45,000",0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,전세,84.9582,202306,7,"34,000",0,5,2020.0,태리로 236,202306~202506,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,월세,80.8285,202306,8,"2,000",130,5,2020.0,태리로 236,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,전세,99.7494,202306,9,"42,000",0,16,2020.0,태리로 236,202309~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,월세,84.9582,202306,13,"3,000",130,11,2020.0,태리로 236,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,전세,80.8285,202306,17,"35,000",0,11,2020.0,태리로 236,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,전세,84.9034,202306,19,"35,000",0,10,2020.0,태리로 236,-,-,-,,,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,전세,84.9034,202306,19,"35,000",0,10,2020.0,태리로 236,202307~202507,갱신,-,"41,000",0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,월세,80.8285,202306,19,"5,000",110,5,2020.0,태리로 236,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,전세,84.9582,202306,20,"30,000",0,12,2020.0,태리로 236,202307~202507,갱신,사용,"40,000",0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,전세,84.7724,202306,20,"33,000",0,6,2020.0,태리로 236,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,월세,84.9034,202306,21,"5,000",150,12,2020.0,태리로 236,202309~202509,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,전세,80.8285,202306,22,"35,000",0,8,2020.0,태리로 236,202308~202508,갱신,사용,"41,000",0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,전세,99.7494,202306,24,"40,000",0,9,2020.0,태리로 236,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,월세,84.9582,202306,24,"3,000",130,14,2020.0,태리로 236,202307~202407,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,전세,80.8285,202306,24,"30,000",0,12,2020.0,태리로 236,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,월세,99.7494,202306,28,"9,000",140,13,2020.0,태리로 236,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,전세,99.7494,202306,29,"40,000",0,3,2020.0,태리로 236,202307~202507,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 태리,BL-A1,00A1,0,캐슬앤파밀리에시티 1단지,전세,74.9702,202306,30,"32,000",0,6,2020.0,태리로 236,202308~202508,신규,-,0,0.0,아파트,발표전,
경기도 김포시 고촌읍 향산리,BL-A1-1,00A1,1,힐스테이트 리버시티 1단지,월세,84.9189,202306,3,"5,000",120,2,2020.0,상미로 38,202307~202507,신규,-,0,0.0,아파트,발표전,
